12	48160351	48161634	12	48230665	48232848	27
7	77284664	77285815	7	77388242	77388928	7
4	128459961	128460166	4	128508304	128509082	4
4	6333919	6334070	4	7083278	7083999	4
2	74919360	74919958	2	75103513	75103710	5
10	104152942	104154319	10	104163483	104163825	6
1	186373611	186373900	1	186573882	186575156	5
19	6048842	6049137	19	6127961	6128576	6
6	135323089	135323900	6	135435513	135436259	4
6	42042998	42043466	6	42515428	42516517	7
2	214116340	214117130	2	215452214	215452533	5
2	175613590	175614850	2	175854482	175855921	13
2	65491870	65494953	2	65799097	65801244	44
15	29987753	29988358	15	30032553	30033309	6
1	174063008	174063319	1	174231986	174232152	5
4	119902992	119903656	4	120235487	120235913	6
8	102339234	102339453	8	102642368	102643455	4
22	32807882	32808716	22	32869294	32869828	4
2	9954078	9954570	2	10169705	10169993	4
12	54089931	54090652	12	54137510	54138198	4
1	165686723	165687968	1	165896914	165897750	5
7	78235941	78236979	7	78553870	78554224	7
11	74991231	74991834	11	75243437	75244305	8
12	24165483	24165958	12	24931812	24932554	5
3	47563092	47563839	3	47706116	47706985	5
11	111221617	111222507	11	111293427	111294277	4
1	200250528	200251739	1	200457917	200458299	4
15	40659806	40660536	15	40674443	40675771	5
3	193498525	193500099	3	193855325	193856722	11
1	209750148	209750316	1	210162530	210163390	4
2	30431353	30431666	2	30449417	30449856	4
7	30549196	30549908	7	30601606	30602044	4
11	6440545	6440954	11	6464035	6464895	6
6	11585621	11586491	6	12893218	12895080	29
1	118076849	118078327	1	118299156	118302377	27
3	46524439	46524865	3	46599751	46600195	4
4	15733114	15733797	4	16002774	16003315	5
5	112266845	112267844	5	112299745	112300146	4
10	90445234	90449692	10	90569008	90570810	71
2	119637811	119639462	2	119884223	119884465	7
17	47938251	47939026	17	47957614	47958058	4
20	2329615	2330461	20	2435330	2435691	5
6	2104056	2105298	6	2196068	2196628	13
14	107072537	107076271	14	107147233	107148800	29
5	138586906	138587224	5	138677136	138677543	4
21	31416676	31417191	21	31565573	31567356	6
X	9319556	9321089	X	10087491	10087726	4
21	46993344	46994022	21	47016751	47016901	4
14	81737984	81738786	14	81919654	81919960	4
17	46686525	46687649	17	46695956	46696239	4
19	3224328	3225015	19	3275421	3275875	5
11	111241885	111242421	11	111293751	111294048	7
1	178500629	178502647	1	178510782	178512759	25
5	173447294	173448216	5	173743876	173745434	26
8	107717229	107717579	8	107777346	107777656	5
5	121855058	121855835	5	122335395	122335973	5
12	50360835	50361369	12	50471485	50472077	4
17	48894531	48895205	17	48922940	48923866	4
12	102694587	102695630	12	103162551	103163778	17
4	1693472	1699609	4	1727155	1732108	193
10	108555362	108555708	10	109574356	109575149	5
3	193497912	193498899	3	194124753	194125724	5
14	90403049	90407645	14	90699238	90703470	84
17	71425282	71426542	17	72170292	72171775	6
4	47838293	47840030	4	48088673	48089560	8
2	99453322	99454179	2	99795559	99796239	5
6	39329676	39331026	6	40275449	40276855	24
5	112379115	112379808	5	112666156	112666509	4
14	55679040	55681212	14	55896488	55900819	58
4	120991770	120992993	4	122017632	122018976	13
11	58925836	58927119	11	58975326	58975754	9
15	65480174	65483414	15	65676855	65678893	35
9	16191865	16193454	9	16601999	16603110	10
7	103213954	103214462	7	104558552	104559303	4
13	32841895	32842813	13	33154803	33155855	13
X	10087348	10087807	X	11550891	11551789	5
7	116228981	116229613	7	116448028	116448505	4
20	23976790	23977229	20	24898691	24899441	6
3	41492287	41492582	3	41922672	41923585	5
1	203000713	203000966	1	203185268	203185608	4
7	70293719	70295679	7	71199933	71201577	30
7	23301487	23302204	7	23584546	23584967	8
6	89991298	89992112	6	90080520	90082437	8
X	12964457	12965228	X	13064358	13065065	5
20	57225775	57226725	20	57425854	57426087	4
3	25689392	25690096	3	25884897	25885043	6
9	104210332	104212291	9	104291585	104293392	39
19	49769418	49771299	19	49946077	49947452	18
7	7142795	7143592	7	8335630	8336073	14
12	646851	648071	12	656188	657050	8
17	55016918	55017468	17	55038109	55038640	4
22	23034491	23036670	22	23283912	23285694	35
X	47052486	47053360	X	47171562	47172361	12
22	17651958	17652963	22	17738917	17739494	6
2	201770395	201770872	2	202047617	202048208	5
9	117101485	117101738	9	117250003	117250673	4
15	64718910	64720401	15	64945816	64947326	19
15	64237044	64237892	15	64338078	64339614	9
1	90308430	90310286	1	90452211	90453623	37
16	136478	138267	16	147008	147218	6
9	140071134	140072080	9	140129699	140130114	4
20	62417701	62417914	20	62689026	62689885	4
10	43700427	43701410	10	43751369	43751753	7
22	25597967	25598936	22	26173795	26174818	13
20	44977534	44980168	20	45039377	45040148	14
3	133206798	133207014	3	133293838	133294967	4
21	45197523	45198267	21	45359054	45359370	4
11	64554794	64555300	11	64614549	64616187	9
2	85527502	85527957	2	85779312	85779463	5
3	123361192	123361632	3	123369627	123370260	4
8	57530739	57531330	8	57837884	57838373	4
19	3327039	3327381	19	3451153	3452158	4
11	20149582	20151373	11	20630919	20632227	27
1	86844990	86847694	1	86972815	86974882	38
10	102192832	102195006	10	102630943	102633473	28
6	129992745	129994057	6	130072723	130073775	16
7	96733064	96734992	7	97463201	97466981	72
22	30651079	30656879	22	30681193	30684614	138
5	138861257	138862397	5	138893240	138894287	6
2	18930982	18931779	2	20062947	20064170	25
7	105681507	105684708	7	105805353	105807839	30
2	238766867	238768058	2	239015794	239016361	8
17	27905860	27908375	17	27943587	27946058	33
9	117424467	117425016	9	117777395	117778227	6
14	23950259	23953389	14	24028474	24029466	22
2	74710092	74710886	2	74771426	74773217	14
15	67180205	67181859	15	67195694	67196320	4
17	31115693	31116687	17	31204155	31204818	4
19	18313072	18314833	19	18360541	18363207	37
13	70139120	70142032	13	70430513	70431783	28
1	41096055	41096809	1	41314666	41316422	17
19	14168860	14170643	19	14182831	14184338	12
1	156450149	156451649	1	156465613	156467071	15
3	155867113	155870539	3	156225577	156229872	91
16	85148525	85149100	16	85330569	85331338	6
X	41581653	41582906	X	41593103	41593938	4
10	11558606	11559331	10	11647125	11648398	4
17	38267634	38270317	17	38347187	38348556	37
6	52281359	52282167	6	52360545	52361567	4
1	9161413	9162087	1	9256048	9256848	5
8	58134959	58137117	8	58254392	58258619	113
5	80720540	80723528	5	81461446	81462876	31
1	41981651	41982639	1	42277204	42278070	5
12	48135990	48136304	12	48150489	48151157	4
22	22510616	22512455	22	22521468	22523077	16
2	237261619	237262345	2	237421791	237422073	4
18	5878367	5881801	18	6480266	6483162	68
10	97453828	97454175	10	97504842	97505647	4
20	37354232	37354827	20	37554617	37555176	5
2	219160803	219162019	2	219260367	219260955	5
14	61573407	61574214	14	61719663	61719878	4
13	82114968	82115521	13	82531422	82532409	4
17	27229506	27230787	17	27276389	27277297	9
9	19173540	19175389	9	19457355	19458137	15
22	37252534	37252897	22	37337615	37338196	4
11	61564480	61565718	11	61664170	61666881	44
3	68942322	68943212	3	69021125	69022992	19
5	142393345	142394565	5	142783059	142784349	10
2	176991279	176993139	2	178011567	178014511	27
18	55626025	55627679	18	55788031	55789767	21
3	123047431	123048127	3	123273163	123275956	12
12	80805140	80806690	12	81340124	81340933	11
17	79917315	79917778	17	79972283	79973843	7
11	33829319	33830083	11	33992111	33993025	12
4	42283350	42284659	4	42400789	42402013	4
14	21225110	21229771	14	21321705	21327146	122
12	23008552	23010553	12	23206909	23208539	20
6	52077781	52078672	6	52128456	52129404	8
9	118355926	118356384	9	118928642	118929948	8
1	54325719	54328699	1	54413208	54416971	55
3	109450505	109451167	3	111056611	111057567	12
6	33557384	33558327	6	33639431	33640883	11
2	29518829	29519543	2	30063568	30064900	10
1	201458941	201459918	1	201481978	201482522	8
1	92926546	92927855	1	93063989	93066055	28
18	47083461	47087950	18	47384778	47385893	40
6	138028664	138029883	6	138065611	138066705	6
7	55347715	55348117	7	55432661	55434027	9
22	22509532	22514342	22	22548552	22551160	87
3	141088794	141089682	3	141159667	141160575	5
10	95111652	95113000	10	95271138	95272051	7
18	56916037	56916872	18	56975582	56976321	12
12	58236515	58237490	12	58298930	58299593	10
6	168735	169673	6	188565	189765	8
8	124936995	124937440	8	125452063	125452983	5
12	6725044	6729023	12	6805932	6807834	64
4	52699277	52700214	4	55099501	55099766	4
19	11047068	11048224	19	11146366	11147561	10
9	127307891	127310247	9	127473554	127474620	6
7	134316345	134319429	7	134383834	134387278	79
4	163566622	163568626	4	163959173	163959944	8
1	31656832	31657131	1	31867546	31867713	4
8	22831701	22832881	8	22870727	22871392	4
11	44130987	44132656	11	44558565	44561912	43
8	30524437	30524736	8	31040347	31041135	4
22	39164892	39165260	22	39517935	39518560	6
1	101822590	101823237	1	101901587	101902443	4
4	42569581	42572215	4	42751309	42753288	57
15	64183225	64183690	15	64302356	64303200	4
7	116767379	116768606	7	117025759	117026207	6
8	53882665	53883595	8	54720884	54721600	6
7	25019013	25020106	7	25132417	25134239	13
12	54645399	54645977	12	54717471	54718635	5
20	60585755	60587452	20	60731539	60732677	31
5	42422817	42423792	5	42583137	42583685	6
7	134966112	134966507	7	135245053	135245801	4
6	41286518	41287513	6	41300789	41301792	7
5	151522545	151523236	5	151894441	151895016	4
1	247553320	247554697	1	247570206	247574574	27
8	75278283	75278924	8	75424714	75425220	4
6	157735668	157736756	6	157755900	157757333	21
10	71892284	71893190	10	71904733	71906500	5
17	30810551	30810972	17	30984386	30985764	5
1	9187919	9188803	1	9256579	9256839	5
16	66987859	66988857	16	67051733	67051976	7
12	31003375	31004483	12	31142357	31143009	8
8	105305381	105306358	8	105337772	105338619	5
22	18941876	18942809	22	19464943	19465584	4
4	88954544	88955034	4	89438113	89439257	4
1	156553299	156554600	1	156569753	156570377	4
6	6677083	6678142	6	7275656	7277729	10
11	128472925	128474467	11	128700503	128702291	13
17	77041322	77041992	17	77076315	77077156	4
4	15807174	15810150	4	15884183	15885392	33
10	103593877	103594560	10	103832181	103832914	4
1	160696184	160696862	1	160922479	160922954	4
9	116071531	116071958	9	116417686	116418444	4
15	43668248	43668698	15	43806623	43807089	7
3	151185915	151186705	3	151554904	151557418	28
11	130296018	130309837	11	130727632	130737918	1629
14	22975670	22976331	14	23000830	23001525	4
2	97150778	97152598	2	97174977	97175921	8
5	137114296	137116038	5	137371215	137372139	16
1	211648935	211650499	1	211828259	211829372	17
3	184072193	184072865	3	184263770	184264529	4
18	71977286	71978535	18	71998559	71998922	6
7	104793129	104794122	7	105069935	105070859	11
13	29394361	29395016	13	30046478	30046909	4
X	130886206	130888752	X	130895835	130898276	64
8	36716143	36716847	8	37247239	37248135	4
6	3069115	3069514	6	3126460	3127005	4
15	56138382	56139059	15	56538148	56538709	9
14	103543862	103545586	14	103651337	103652284	22
11	7686339	7687419	11	7708569	7709963	15
11	34534001	34535243	11	35433804	35434292	7
