1	840000	850000	1	850000	860000	.	.	.	.	0,255,0
1	1120000	1130000	1	1130000	1140000	.	.	.	.	0,255,0
1	930000	940000	1	940000	950000	.	.	.	.	0,255,0
1	970000	980000	1	1050000	1060000	.	.	.	.	0,255,0
1	970000	980000	1	1090000	1100000	.	.	.	.	0,255,0
1	970000	980000	1	1330000	1340000	.	.	.	.	0,255,0
1	1030000	1040000	1	1040000	1050000	.	.	.	.	0,255,0
1	1020000	1030000	1	1070000	1080000	.	.	.	.	0,255,0
1	1020000	1030000	1	1300000	1310000	.	.	.	.	0,255,0
1	1060000	1070000	1	1080000	1090000	.	.	.	.	0,255,0
1	1070000	1080000	1	1430000	1440000	.	.	.	.	0,255,0
1	1160000	1170000	1	1170000	1180000	.	.	.	.	0,255,0
1	1190000	1200000	1	1200000	1210000	.	.	.	.	0,255,0
1	1160000	1170000	1	1220000	1230000	.	.	.	.	0,255,0
1	1350000	1360000	1	1360000	1370000	.	.	.	.	0,255,0
1	1260000	1270000	1	1270000	1280000	.	.	.	.	0,255,0
1	1280000	1290000	1	1500000	1510000	.	.	.	.	0,255,0
1	1260000	1270000	1	1560000	1570000	.	.	.	.	0,255,0
1	1290000	1300000	1	1380000	1390000	.	.	.	.	0,255,0
1	1290000	1300000	1	1540000	1550000	.	.	.	.	0,255,0
1	1310000	1320000	1	1320000	1330000	.	.	.	.	0,255,0
1	1320000	1330000	1	1650000	1660000	.	.	.	.	0,255,0
1	1370000	1380000	1	1420000	1430000	.	.	.	.	0,255,0
1	1410000	1420000	1	1420000	1430000	.	.	.	.	0,255,0
1	1430000	1440000	1	1570000	1580000	.	.	.	.	0,255,0
1	1450000	1460000	1	1470000	1480000	.	.	.	.	0,255,0
1	1460000	1470000	1	1580000	1590000	.	.	.	.	0,255,0
1	1480000	1490000	1	1640000	1650000	.	.	.	.	0,255,0
1	1510000	1520000	1	1560000	1570000	.	.	.	.	0,255,0
1	1560000	1570000	1	1820000	1830000	.	.	.	.	0,255,0
1	1580000	1590000	1	1650000	1660000	.	.	.	.	0,255,0
1	1590000	1600000	1	1600000	1610000	.	.	.	.	0,255,0
1	1640000	1650000	1	1650000	1660000	.	.	.	.	0,255,0
1	1710000	1720000	1	1720000	1730000	.	.	.	.	0,255,0
1	2180000	2190000	1	2220000	2230000	.	.	.	.	0,255,0
1	2120000	2130000	1	2440000	2450000	.	.	.	.	0,255,0
1	2130000	2140000	1	2510000	2520000	.	.	.	.	0,255,0
1	2340000	2350000	1	2480000	2490000	.	.	.	.	0,255,0
1	2360000	2370000	1	2710000	2720000	.	.	.	.	0,255,0
1	2500000	2510000	1	2510000	2520000	.	.	.	.	0,255,0
1	2750000	2760000	1	3140000	3150000	.	.	.	.	0,255,0
1	2880000	2890000	1	3170000	3180000	.	.	.	.	0,255,0
1	2890000	2900000	1	3210000	3220000	.	.	.	.	0,255,0
1	2880000	2890000	1	3250000	3260000	.	.	.	.	0,255,0
1	3400000	3410000	1	3530000	3540000	.	.	.	.	0,255,0
1	3410000	3420000	1	3650000	3660000	.	.	.	.	0,255,0
1	3480000	3490000	1	3630000	3640000	.	.	.	.	0,255,0
1	3550000	3560000	1	3620000	3630000	.	.	.	.	0,255,0
1	3570000	3580000	1	3580000	3590000	.	.	.	.	0,255,0
1	5570000	5580000	1	5790000	5800000	.	.	.	.	0,255,0
1	6330000	6340000	1	6380000	6390000	.	.	.	.	0,255,0
1	6420000	6430000	1	6440000	6450000	.	.	.	.	0,255,0
1	6540000	6550000	1	6700000	6710000	.	.	.	.	0,255,0
1	6780000	6790000	1	6950000	6960000	.	.	.	.	0,255,0
1	6770000	6780000	1	7010000	7020000	.	.	.	.	0,255,0
1	6790000	6800000	1	7130000	7140000	.	.	.	.	0,255,0
1	6880000	6890000	1	6920000	6930000	.	.	.	.	0,255,0
1	6850000	6860000	1	7120000	7130000	.	.	.	.	0,255,0
1	7720000	7730000	1	7810000	7820000	.	.	.	.	0,255,0
1	7730000	7740000	1	7960000	7970000	.	.	.	.	0,255,0
1	7870000	7880000	1	7960000	7970000	.	.	.	.	0,255,0
1	8150000	8160000	1	8220000	8230000	.	.	.	.	0,255,0
1	8050000	8060000	1	8380000	8390000	.	.	.	.	0,255,0
1	8120000	8130000	1	8190000	8200000	.	.	.	.	0,255,0
1	8630000	8640000	1	8640000	8650000	.	.	.	.	0,255,0
1	8450000	8460000	1	8550000	8560000	.	.	.	.	0,255,0
1	8460000	8470000	1	8470000	8480000	.	.	.	.	0,255,0
1	8500000	8510000	1	8510000	8520000	.	.	.	.	0,255,0
1	8560000	8570000	1	8570000	8580000	.	.	.	.	0,255,0
1	8840000	8850000	1	8860000	8870000	.	.	.	.	0,255,0
1	8980000	8990000	1	9040000	9050000	.	.	.	.	0,255,0
1	8970000	8980000	1	9260000	9270000	.	.	.	.	0,255,0
1	9060000	9070000	1	9160000	9170000	.	.	.	.	0,255,0
1	8980000	8990000	1	9300000	9310000	.	.	.	.	0,255,0
1	9050000	9060000	1	9270000	9280000	.	.	.	.	0,255,0
1	9070000	9080000	1	9090000	9100000	.	.	.	.	0,255,0
1	9190000	9200000	1	9210000	9220000	.	.	.	.	0,255,0
1	9170000	9180000	1	9550000	9560000	.	.	.	.	0,255,0
1	9440000	9450000	1	9490000	9500000	.	.	.	.	0,255,0
1	9560000	9570000	1	9620000	9630000	.	.	.	.	0,255,0
1	9680000	9690000	1	9920000	9930000	.	.	.	.	0,255,0
1	9700000	9710000	1	9710000	9720000	.	.	.	.	0,255,0
1	9850000	9860000	1	9870000	9880000	.	.	.	.	0,255,0
